year,month,city,temperature,rainfall_mm,date
1964,3,Mumbai,21.37,111.59,1964-03-01
1964,4,Mumbai,26.66,111.99,1964-04-01
1964,5,Mumbai,30.88,158.08,1964-05-01
1964,6,Mumbai,36.26,183.49,1964-06-01
1964,7,Mumbai,35.38,208.51,1964-07-01
1964,8,Mumbai,31.7,231.43,1964-08-01
1964,9,Mumbai,31.14,289.26,1964-09-01
1964,10,Mumbai,26.84,237.99,1964-10-01
1964,11,Mumbai,23.03,186.63,1964-11-01
1964,12,Mumbai,21.52,195.04,1964-12-01
1965,1,Mumbai,20.04,131.81,1965-01-01
1965,2,Mumbai,21.85,100.0,1965-02-01
1965,3,Mumbai,23.79,163.81,1965-03-01
1965,4,Mumbai,25.9,116.71,1965-04-01
1965,5,Mumbai,31.21,139.93,1965-05-01
1965,6,Mumbai,32.16,181.37,1965-06-01
1965,7,Mumbai,33.82,219.47,1965-07-01
1965,8,Mumbai,32.91,262.96,1965-08-01
1965,9,Mumbai,30.15,233.56,1965-09-01
1965,10,Mumbai,28.07,207.34,1965-10-01
1965,11,Mumbai,23.36,236.14,1965-11-01
1965,12,Mumbai,18.23,183.69,1965-12-01
1966,1,Mumbai,19.42,165.64,1966-01-01
1966,2,Mumbai,18.7,101.63,1966-02-01
1966,3,Mumbai,23.73,125.94,1966-03-01
1966,4,Mumbai,27.41,134.97,1966-04-01
1966,5,Mumbai,30.29,154.65,1966-05-01
1966,6,Mumbai,34.39,165.71,1966-06-01
1966,7,Mumbai,37.35,219.48,1966-07-01
1966,8,Mumbai,32.61,245.09,1966-08-01
1966,9,Mumbai,29.94,255.74,1966-09-01
1966,10,Mumbai,28.5,215.55,1966-10-01
1966,11,Mumbai,24.26,218.26,1966-11-01
1966,12,Mumbai,21.17,217.94,1966-12-01
1967,1,Mumbai,18.83,134.93,1967-01-01
1967,2,Mumbai,19.13,111.72,1967-02-01
1967,3,Mumbai,23.03,126.82,1967-03-01
1967,4,Mumbai,27.46,144.58,1967-04-01
1967,5,Mumbai,31.14,179.07,1967-05-01
1967,6,Mumbai,33.74,234.4,1967-06-01
1967,7,Mumbai,35.88,192.86,1967-07-01
1967,8,Mumbai,32.77,241.61,1967-08-01
1967,9,Mumbai,30.86,254.28,1967-09-01
1967,10,Mumbai,27.69,230.5,1967-10-01
1967,11,Mumbai,22.11,179.7,1967-11-01
1967,12,Mumbai,19.66,197.13,1967-12-01
1968,1,Mumbai,19.4,125.09,1968-01-01
1968,2,Mumbai,20.42,135.74,1968-02-01
1968,3,Mumbai,22.08,123.07,1968-03-01
1968,4,Mumbai,27.21,105.18,1968-04-01
1968,5,Mumbai,31.57,161.22,1968-05-01
1968,6,Mumbai,35.37,201.08,1968-06-01
1968,7,Mumbai,33.49,191.24,1968-07-01
1968,8,Mumbai,34.69,242.24,1968-08-01
1968,9,Mumbai,31.76,317.05,1968-09-01
1968,10,Mumbai,27.83,254.67,1968-10-01
1968,11,Mumbai,24.29,223.03,1968-11-01
1968,12,Mumbai,19.84,195.18,1968-12-01
1969,1,Mumbai,18.23,145.26,1969-01-01
1969,2,Mumbai,19.65,129.68,1969-02-01
1969,3,Mumbai,25.94,82.65,1969-03-01
1969,4,Mumbai,27.99,95.78,1969-04-01
1969,5,Mumbai,30.6,171.78,1969-05-01
1969,6,Mumbai,34.17,158.45,1969-06-01
1969,7,Mumbai,34.3,223.59,1969-07-01
1969,8,Mumbai,33.21,236.29,1969-08-01
1969,9,Mumbai,31.22,226.97,1969-09-01
1969,10,Mumbai,29.73,244.64,1969-10-01
1969,11,Mumbai,20.73,213.73,1969-11-01
1969,12,Mumbai,19.44,197.05,1969-12-01
1970,1,Mumbai,18.23,147.71,1970-01-01
1970,2,Mumbai,20.86,145.35,1970-02-01
1970,3,Mumbai,21.74,113.31,1970-03-01
1970,4,Mumbai,26.61,114.97,1970-04-01
1970,5,Mumbai,33.3,158.1,1970-05-01
1970,6,Mumbai,32.6,198.36,1970-06-01
1970,7,Mumbai,37.73,230.65,1970-07-01
1970,8,Mumbai,32.28,222.28,1970-08-01
1970,9,Mumbai,32.7,225.85,1970-09-01
1970,10,Mumbai,27.71,247.45,1970-10-01
1970,11,Mumbai,22.07,208.81,1970-11-01
1970,12,Mumbai,16.36,159.51,1970-12-01
1971,1,Mumbai,18.89,125.04,1971-01-01
1971,2,Mumbai,22.23,99.44,1971-02-01
1971,3,Mumbai,22.67,122.61,1971-03-01
1971,4,Mumbai,28.93,99.32,1971-04-01
1971,5,Mumbai,32.59,150.2,1971-05-01
1971,6,Mumbai,32.95,189.24,1971-06-01
1971,7,Mumbai,35.44,198.0,1971-07-01
1971,8,Mumbai,34.21,224.26,1971-08-01
1971,9,Mumbai,31.33,253.24,1971-09-01
1971,10,Mumbai,29.1,207.21,1971-10-01
1971,11,Mumbai,25.76,170.96,1971-11-01
1971,12,Mumbai,20.09,191.77,1971-12-01
1972,1,Mumbai,19.55,137.55,1972-01-01
1972,2,Mumbai,20.04,118.18,1972-02-01
1972,3,Mumbai,22.51,136.99,1972-03-01
1972,4,Mumbai,27.64,114.18,1972-04-01
1972,5,Mumbai,32.3,156.15,1972-05-01
1972,6,Mumbai,35.12,192.59,1972-06-01
1972,7,Mumbai,34.22,198.8,1972-07-01
1972,8,Mumbai,35.04,244.17,1972-08-01
1972,9,Mumbai,31.19,242.35,1972-09-01
1972,10,Mumbai,28.75,220.13,1972-10-01
1972,11,Mumbai,23.87,205.96,1972-11-01
1972,12,Mumbai,20.03,201.98,1972-12-01
1973,1,Mumbai,20.22,166.27,1973-01-01
1973,2,Mumbai,21.87,128.46,1973-02-01
1973,3,Mumbai,24.05,113.79,1973-03-01
1973,4,Mumbai,27.62,125.44,1973-04-01
1973,5,Mumbai,31.35,161.9,1973-05-01
1973,6,Mumbai,33.18,221.85,1973-06-01
1973,7,Mumbai,34.03,185.72,1973-07-01
1973,8,Mumbai,35.55,247.79,1973-08-01
1973,9,Mumbai,31.98,252.57,1973-09-01
1973,10,Mumbai,27.22,214.02,1973-10-01
1973,11,Mumbai,23.32,196.46,1973-11-01
1973,12,Mumbai,21.48,177.06,1973-12-01
1974,1,Mumbai,18.26,143.57,1974-01-01
1974,2,Mumbai,20.82,116.76,1974-02-01
1974,3,Mumbai,22.27,124.87,1974-03-01
1974,4,Mumbai,27.55,117.9,1974-04-01
1974,5,Mumbai,30.69,154.64,1974-05-01
1974,6,Mumbai,32.44,151.85,1974-06-01
1974,7,Mumbai,34.39,205.73,1974-07-01
1974,8,Mumbai,34.55,261.47,1974-08-01
1974,9,Mumbai,32.28,236.8,1974-09-01
1974,10,Mumbai,27.23,211.91,1974-10-01
1974,11,Mumbai,23.23,204.23,1974-11-01
1974,12,Mumbai,20.71,163.46,1974-12-01
1975,1,Mumbai,19.89,180.65,1975-01-01
1975,2,Mumbai,20.21,136.07,1975-02-01
1975,3,Mumbai,24.1,111.98,1975-03-01
1975,4,Mumbai,27.54,128.29,1975-04-01
1975,5,Mumbai,31.39,134.54,1975-05-01
1975,6,Mumbai,34.23,189.96,1975-06-01
1975,7,Mumbai,37.01,229.19,1975-07-01
1975,8,Mumbai,36.78,216.61,1975-08-01
1975,9,Mumbai,32.32,243.67,1975-09-01
1975,10,Mumbai,29.9,215.8,1975-10-01
1975,11,Mumbai,22.26,198.01,1975-11-01
1975,12,Mumbai,17.79,169.48,1975-12-01
1976,1,Mumbai,18.38,153.01,1976-01-01
1976,2,Mumbai,20.77,165.56,1976-02-01
1976,3,Mumbai,24.43,108.46,1976-03-01
1976,4,Mumbai,26.21,137.88,1976-04-01
1976,5,Mumbai,29.7,186.63,1976-05-01
1976,6,Mumbai,35.63,170.62,1976-06-01
1976,7,Mumbai,33.23,237.08,1976-07-01
1976,8,Mumbai,34.08,256.72,1976-08-01
1976,9,Mumbai,29.37,228.01,1976-09-01
1976,10,Mumbai,27.29,232.9,1976-10-01
1976,11,Mumbai,22.75,222.46,1976-11-01
1976,12,Mumbai,19.08,177.15,1976-12-01
1977,1,Mumbai,19.45,160.29,1977-01-01
1977,2,Mumbai,21.23,105.55,1977-02-01
1977,3,Mumbai,21.47,145.55,1977-03-01
1977,4,Mumbai,27.7,113.07,1977-04-01
1977,5,Mumbai,33.17,152.31,1977-05-01
1977,6,Mumbai,35.65,181.35,1977-06-01
1977,7,Mumbai,37.78,245.11,1977-07-01
1977,8,Mumbai,33.94,251.39,1977-08-01
1977,9,Mumbai,32.08,267.37,1977-09-01
1977,10,Mumbai,26.15,245.68,1977-10-01
1977,11,Mumbai,24.58,174.83,1977-11-01
1977,12,Mumbai,18.96,139.22,1977-12-01
1978,1,Mumbai,19.0,164.35,1978-01-01
1978,2,Mumbai,22.2,129.52,1978-02-01
1978,3,Mumbai,25.28,92.4,1978-03-01
1978,4,Mumbai,25.28,126.93,1978-04-01
1978,5,Mumbai,31.78,149.35,1978-05-01
1978,6,Mumbai,31.77,178.22,1978-06-01
1978,7,Mumbai,33.76,223.39,1978-07-01
1978,8,Mumbai,34.69,213.16,1978-08-01
1978,9,Mumbai,30.71,218.82,1978-09-01
1978,10,Mumbai,27.25,251.06,1978-10-01
1978,11,Mumbai,22.14,220.08,1978-11-01
1978,12,Mumbai,19.76,164.14,1978-12-01
1979,1,Mumbai,19.21,129.3,1979-01-01
1979,2,Mumbai,19.75,104.08,1979-02-01
1979,3,Mumbai,25.7,120.71,1979-03-01
1979,4,Mumbai,26.5,132.32,1979-04-01
1979,5,Mumbai,31.21,145.58,1979-05-01
1979,6,Mumbai,35.01,195.15,1979-06-01
1979,7,Mumbai,34.71,198.48,1979-07-01
1979,8,Mumbai,33.94,185.92,1979-08-01
1979,9,Mumbai,29.52,267.34,1979-09-01
1979,10,Mumbai,29.32,226.98,1979-10-01
1979,11,Mumbai,24.03,216.23,1979-11-01
1979,12,Mumbai,24.11,202.39,1979-12-01
1980,1,Mumbai,19.21,130.89,1980-01-01
1980,2,Mumbai,18.5,132.11,1980-02-01
1980,3,Mumbai,22.45,91.55,1980-03-01
1980,4,Mumbai,26.58,106.41,1980-04-01
1980,5,Mumbai,33.38,167.63,1980-05-01
1980,6,Mumbai,34.28,209.6,1980-06-01
1980,7,Mumbai,35.45,192.77,1980-07-01
1980,8,Mumbai,36.12,242.74,1980-08-01
1980,9,Mumbai,30.12,236.19,1980-09-01
1980,10,Mumbai,26.31,204.31,1980-10-01
1980,11,Mumbai,24.47,248.19,1980-11-01
1980,12,Mumbai,18.75,191.26,1980-12-01
1981,1,Mumbai,18.6,140.26,1981-01-01
1981,2,Mumbai,19.74,110.76,1981-02-01
1981,3,Mumbai,23.44,103.38,1981-03-01
1981,4,Mumbai,27.7,127.03,1981-04-01
1981,5,Mumbai,31.09,131.85,1981-05-01
1981,6,Mumbai,33.61,195.11,1981-06-01
1981,7,Mumbai,35.98,190.45,1981-07-01
1981,8,Mumbai,34.43,246.99,1981-08-01
1981,9,Mumbai,29.37,250.87,1981-09-01
1981,10,Mumbai,26.58,243.37,1981-10-01
1981,11,Mumbai,22.46,173.9,1981-11-01
1981,12,Mumbai,18.5,180.96,1981-12-01
1982,1,Mumbai,19.71,131.91,1982-01-01
1982,2,Mumbai,21.23,94.81,1982-02-01
1982,3,Mumbai,23.32,95.78,1982-03-01
1982,4,Mumbai,26.61,128.99,1982-04-01
1982,5,Mumbai,30.36,142.31,1982-05-01
1982,6,Mumbai,35.53,168.46,1982-06-01
1982,7,Mumbai,36.4,187.41,1982-07-01
1982,8,Mumbai,34.96,260.79,1982-08-01
1982,9,Mumbai,28.43,224.06,1982-09-01
1982,10,Mumbai,28.09,227.9,1982-10-01
1982,11,Mumbai,23.84,197.92,1982-11-01
1982,12,Mumbai,20.57,176.89,1982-12-01
1983,1,Mumbai,20.82,155.09,1983-01-01
1983,2,Mumbai,20.89,119.8,1983-02-01
1983,3,Mumbai,22.83,111.35,1983-03-01
1983,4,Mumbai,27.89,119.62,1983-04-01
1983,5,Mumbai,31.76,191.51,1983-05-01
1983,6,Mumbai,35.39,173.48,1983-06-01
1983,7,Mumbai,36.86,201.84,1983-07-01
1983,8,Mumbai,31.9,211.8,1983-08-01
1983,9,Mumbai,29.17,232.97,1983-09-01
1983,10,Mumbai,27.44,265.49,1983-10-01
1983,11,Mumbai,23.81,205.62,1983-11-01
1983,12,Mumbai,21.48,135.78,1983-12-01
1984,1,Mumbai,19.71,165.42,1984-01-01
1984,2,Mumbai,18.73,150.91,1984-02-01
1984,3,Mumbai,23.84,111.69,1984-03-01
1984,4,Mumbai,28.19,173.45,1984-04-01
1984,5,Mumbai,31.65,154.96,1984-05-01
1984,6,Mumbai,33.81,163.0,1984-06-01
1984,7,Mumbai,36.43,192.88,1984-07-01
1984,8,Mumbai,34.45,222.41,1984-08-01
1984,9,Mumbai,32.01,246.67,1984-09-01
1984,10,Mumbai,28.68,221.76,1984-10-01
1984,11,Mumbai,23.11,190.42,1984-11-01
1984,12,Mumbai,19.97,187.55,1984-12-01
1985,1,Mumbai,20.36,131.56,1985-01-01
1985,2,Mumbai,21.57,155.15,1985-02-01
1985,3,Mumbai,23.95,157.54,1985-03-01
1985,4,Mumbai,26.52,103.15,1985-04-01
1985,5,Mumbai,29.32,179.92,1985-05-01
1985,6,Mumbai,35.16,178.89,1985-06-01
1985,7,Mumbai,35.79,187.49,1985-07-01
1985,8,Mumbai,37.31,234.55,1985-08-01
1985,9,Mumbai,31.58,254.52,1985-09-01
1985,10,Mumbai,28.03,236.44,1985-10-01
1985,11,Mumbai,22.5,219.43,1985-11-01
1985,12,Mumbai,22.78,206.91,1985-12-01
1986,1,Mumbai,21.38,139.78,1986-01-01
1986,2,Mumbai,19.35,125.52,1986-02-01
1986,3,Mumbai,23.53,141.88,1986-03-01
1986,4,Mumbai,25.44,158.63,1986-04-01
1986,5,Mumbai,31.28,141.46,1986-05-01
1986,6,Mumbai,33.18,146.9,1986-06-01
1986,7,Mumbai,36.46,211.47,1986-07-01
1986,8,Mumbai,32.85,206.06,1986-08-01
1986,9,Mumbai,31.07,273.38,1986-09-01
1986,10,Mumbai,27.16,201.9,1986-10-01
1986,11,Mumbai,23.17,204.55,1986-11-01
1986,12,Mumbai,17.3,178.91,1986-12-01
1987,1,Mumbai,19.21,163.92,1987-01-01
1987,2,Mumbai,22.78,150.57,1987-02-01
1987,3,Mumbai,23.16,97.87,1987-03-01
1987,4,Mumbai,30.57,129.22,1987-04-01
1987,5,Mumbai,31.5,149.52,1987-05-01
1987,6,Mumbai,34.65,177.11,1987-06-01
1987,7,Mumbai,34.8,199.06,1987-07-01
1987,8,Mumbai,34.37,221.09,1987-08-01
1987,9,Mumbai,30.63,242.13,1987-09-01
1987,10,Mumbai,27.18,262.04,1987-10-01
1987,11,Mumbai,20.3,231.83,1987-11-01
1987,12,Mumbai,22.05,138.53,1987-12-01
1988,1,Mumbai,19.09,142.57,1988-01-01
1988,2,Mumbai,18.89,112.48,1988-02-01
1988,3,Mumbai,22.17,155.05,1988-03-01
1988,4,Mumbai,28.63,153.47,1988-04-01
1988,5,Mumbai,32.37,127.42,1988-05-01
1988,6,Mumbai,33.8,189.79,1988-06-01
1988,7,Mumbai,34.04,224.26,1988-07-01
1988,8,Mumbai,34.14,224.47,1988-08-01
1988,9,Mumbai,32.36,248.89,1988-09-01
1988,10,Mumbai,27.07,255.15,1988-10-01
1988,11,Mumbai,22.21,222.32,1988-11-01
1988,12,Mumbai,21.29,173.81,1988-12-01
1989,1,Mumbai,19.91,124.98,1989-01-01
1989,2,Mumbai,21.7,124.34,1989-02-01
1989,3,Mumbai,22.89,140.98,1989-03-01
1989,4,Mumbai,26.68,99.87,1989-04-01
1989,5,Mumbai,29.65,162.12,1989-05-01
1989,6,Mumbai,32.91,215.1,1989-06-01
1989,7,Mumbai,33.02,243.93,1989-07-01
1989,8,Mumbai,34.7,230.03,1989-08-01
1989,9,Mumbai,30.87,247.98,1989-09-01
1989,10,Mumbai,27.48,254.03,1989-10-01
1989,11,Mumbai,23.66,213.01,1989-11-01
1989,12,Mumbai,20.16,178.86,1989-12-01
1990,1,Mumbai,19.91,115.8,1990-01-01
1990,2,Mumbai,18.99,142.9,1990-02-01
1990,3,Mumbai,23.75,116.32,1990-03-01
1990,4,Mumbai,27.56,134.99,1990-04-01
1990,5,Mumbai,30.89,134.43,1990-05-01
1990,6,Mumbai,34.7,160.43,1990-06-01
1990,7,Mumbai,36.03,175.95,1990-07-01
1990,8,Mumbai,35.7,241.41,1990-08-01
1990,9,Mumbai,31.85,259.65,1990-09-01
1990,10,Mumbai,29.54,252.25,1990-10-01
1990,11,Mumbai,21.33,184.41,1990-11-01
1990,12,Mumbai,19.86,180.52,1990-12-01
1991,1,Mumbai,20.18,135.49,1991-01-01
1991,2,Mumbai,20.85,112.93,1991-02-01
1991,3,Mumbai,22.82,91.87,1991-03-01
1991,4,Mumbai,26.45,101.0,1991-04-01
1991,5,Mumbai,30.39,171.07,1991-05-01
1991,6,Mumbai,33.35,232.65,1991-06-01
1991,7,Mumbai,36.15,213.7,1991-07-01
1991,8,Mumbai,33.46,245.97,1991-08-01
1991,9,Mumbai,30.87,242.44,1991-09-01
1991,10,Mumbai,30.63,230.04,1991-10-01
1991,11,Mumbai,24.94,195.94,1991-11-01
1991,12,Mumbai,20.59,215.42,1991-12-01
1992,1,Mumbai,18.82,186.25,1992-01-01
1992,2,Mumbai,21.5,116.79,1992-02-01
1992,3,Mumbai,24.33,139.45,1992-03-01
1992,4,Mumbai,28.32,96.63,1992-04-01
1992,5,Mumbai,30.7,145.05,1992-05-01
1992,6,Mumbai,34.41,192.41,1992-06-01
1992,7,Mumbai,35.79,183.29,1992-07-01
1992,8,Mumbai,34.96,244.17,1992-08-01
1992,9,Mumbai,32.25,261.62,1992-09-01
1992,10,Mumbai,28.58,241.15,1992-10-01
1992,11,Mumbai,23.49,176.78,1992-11-01
1992,12,Mumbai,21.16,184.15,1992-12-01
1993,1,Mumbai,19.92,124.47,1993-01-01
1993,2,Mumbai,19.37,149.1,1993-02-01
1993,3,Mumbai,23.55,133.63,1993-03-01
1993,4,Mumbai,27.63,128.63,1993-04-01
1993,5,Mumbai,32.72,139.68,1993-05-01
1993,6,Mumbai,34.64,170.75,1993-06-01
1993,7,Mumbai,35.07,203.82,1993-07-01
1993,8,Mumbai,34.79,222.39,1993-08-01
1993,9,Mumbai,33.1,222.11,1993-09-01
1993,10,Mumbai,27.37,223.17,1993-10-01
1993,11,Mumbai,25.33,213.93,1993-11-01
1993,12,Mumbai,21.9,150.29,1993-12-01
1994,1,Mumbai,19.93,167.79,1994-01-01
1994,2,Mumbai,20.78,149.35,1994-02-01
1994,3,Mumbai,22.99,148.19,1994-03-01
1994,4,Mumbai,30.37,120.78,1994-04-01
1994,5,Mumbai,31.08,179.07,1994-05-01
1994,6,Mumbai,36.44,169.54,1994-06-01
1994,7,Mumbai,35.11,204.36,1994-07-01
1994,8,Mumbai,32.93,213.59,1994-08-01
1994,9,Mumbai,30.41,224.64,1994-09-01
1994,10,Mumbai,27.57,236.65,1994-10-01
1994,11,Mumbai,25.47,190.03,1994-11-01
1994,12,Mumbai,21.86,175.72,1994-12-01
1995,1,Mumbai,19.57,163.5,1995-01-01
1995,2,Mumbai,19.35,135.69,1995-02-01
1995,3,Mumbai,23.83,129.85,1995-03-01
1995,4,Mumbai,27.98,177.14,1995-04-01
1995,5,Mumbai,30.86,139.38,1995-05-01
1995,6,Mumbai,33.81,168.89,1995-06-01
1995,7,Mumbai,34.87,233.78,1995-07-01
1995,8,Mumbai,36.26,220.55,1995-08-01
1995,9,Mumbai,30.63,249.43,1995-09-01
1995,10,Mumbai,26.97,244.62,1995-10-01
1995,11,Mumbai,23.87,179.69,1995-11-01
1995,12,Mumbai,22.56,215.92,1995-12-01
1996,1,Mumbai,18.91,142.25,1996-01-01
1996,2,Mumbai,21.06,134.73,1996-02-01
1996,3,Mumbai,24.44,160.2,1996-03-01
1996,4,Mumbai,27.44,112.07,1996-04-01
1996,5,Mumbai,29.99,135.38,1996-05-01
1996,6,Mumbai,34.54,215.89,1996-06-01
1996,7,Mumbai,35.03,214.48,1996-07-01
1996,8,Mumbai,34.56,255.73,1996-08-01
1996,9,Mumbai,34.68,229.38,1996-09-01
1996,10,Mumbai,27.06,252.84,1996-10-01
1996,11,Mumbai,24.47,246.93,1996-11-01
1996,12,Mumbai,21.42,172.81,1996-12-01
1997,1,Mumbai,20.37,172.17,1997-01-01
1997,2,Mumbai,21.72,138.18,1997-02-01
1997,3,Mumbai,24.95,143.39,1997-03-01
1997,4,Mumbai,29.32,141.01,1997-04-01
1997,5,Mumbai,31.47,152.93,1997-05-01
1997,6,Mumbai,36.04,163.66,1997-06-01
1997,7,Mumbai,36.11,202.13,1997-07-01
1997,8,Mumbai,34.63,257.53,1997-08-01
1997,9,Mumbai,31.9,240.93,1997-09-01
1997,10,Mumbai,26.03,246.89,1997-10-01
1997,11,Mumbai,24.44,253.27,1997-11-01
1997,12,Mumbai,20.37,184.38,1997-12-01
1998,1,Mumbai,22.48,181.55,1998-01-01
1998,2,Mumbai,23.14,133.62,1998-02-01
1998,3,Mumbai,26.91,123.73,1998-03-01
1998,4,Mumbai,29.65,131.92,1998-04-01
1998,5,Mumbai,35.47,129.47,1998-05-01
1998,6,Mumbai,37.27,166.0,1998-06-01
1998,7,Mumbai,39.62,179.54,1998-07-01
1998,8,Mumbai,36.44,239.51,1998-08-01
1998,9,Mumbai,36.06,238.68,1998-09-01
1998,10,Mumbai,29.52,269.58,1998-10-01
1998,11,Mumbai,24.45,166.02,1998-11-01
1998,12,Mumbai,23.78,169.96,1998-12-01
1999,1,Mumbai,18.48,164.17,1999-01-01
1999,2,Mumbai,21.07,116.76,1999-02-01
1999,3,Mumbai,22.17,137.45,1999-03-01
1999,4,Mumbai,28.48,126.05,1999-04-01
1999,5,Mumbai,33.92,128.6,1999-05-01
1999,6,Mumbai,32.8,166.16,1999-06-01
1999,7,Mumbai,35.65,214.87,1999-07-01
1999,8,Mumbai,34.34,239.0,1999-08-01
1999,9,Mumbai,30.2,268.88,1999-09-01
1999,10,Mumbai,27.6,254.31,1999-10-01
1999,11,Mumbai,24.11,219.14,1999-11-01
1999,12,Mumbai,21.46,188.95,1999-12-01
2000,1,Mumbai,20.49,176.58,2000-01-01
2000,2,Mumbai,21.03,142.22,2000-02-01
2000,3,Mumbai,23.61,148.8,2000-03-01
2000,4,Mumbai,26.91,164.06,2000-04-01
2000,5,Mumbai,31.67,121.38,2000-05-01
2000,6,Mumbai,34.8,166.38,2000-06-01
2000,7,Mumbai,36.73,196.95,2000-07-01
2000,8,Mumbai,34.11,194.17,2000-08-01
2000,9,Mumbai,31.18,191.52,2000-09-01
2000,10,Mumbai,25.82,247.17,2000-10-01
2000,11,Mumbai,24.66,218.51,2000-11-01
2000,12,Mumbai,19.63,179.05,2000-12-01
2001,1,Mumbai,19.73,126.83,2001-01-01
2001,2,Mumbai,22.61,145.59,2001-02-01
2001,3,Mumbai,23.47,120.54,2001-03-01
2001,4,Mumbai,27.99,87.2,2001-04-01
2001,5,Mumbai,31.44,136.36,2001-05-01
2001,6,Mumbai,33.46,174.38,2001-06-01
2001,7,Mumbai,37.9,222.82,2001-07-01
2001,8,Mumbai,33.98,243.41,2001-08-01
2001,9,Mumbai,33.42,258.49,2001-09-01
2001,10,Mumbai,27.81,219.02,2001-10-01
2001,11,Mumbai,24.58,217.87,2001-11-01
2001,12,Mumbai,21.88,192.7,2001-12-01
2002,1,Mumbai,21.02,139.3,2002-01-01
2002,2,Mumbai,22.41,131.99,2002-02-01
2002,3,Mumbai,26.25,106.22,2002-03-01
2002,4,Mumbai,29.84,132.0,2002-04-01
2002,5,Mumbai,30.97,140.32,2002-05-01
2002,6,Mumbai,34.3,188.48,2002-06-01
2002,7,Mumbai,36.38,198.53,2002-07-01
2002,8,Mumbai,34.65,274.81,2002-08-01
2002,9,Mumbai,33.83,248.73,2002-09-01
2002,10,Mumbai,27.8,234.36,2002-10-01
2002,11,Mumbai,24.49,189.54,2002-11-01
2002,12,Mumbai,20.52,146.63,2002-12-01
2003,1,Mumbai,20.25,162.94,2003-01-01
2003,2,Mumbai,20.27,159.52,2003-02-01
2003,3,Mumbai,22.3,90.71,2003-03-01
2003,4,Mumbai,28.04,148.98,2003-04-01
2003,5,Mumbai,33.79,140.82,2003-05-01
2003,6,Mumbai,36.0,179.23,2003-06-01
2003,7,Mumbai,35.57,227.67,2003-07-01
2003,8,Mumbai,35.48,200.43,2003-08-01
2003,9,Mumbai,33.55,267.6,2003-09-01
2003,10,Mumbai,27.02,239.88,2003-10-01
2003,11,Mumbai,24.37,215.21,2003-11-01
2003,12,Mumbai,20.19,166.57,2003-12-01
2004,1,Mumbai,19.76,173.45,2004-01-01
2004,2,Mumbai,21.52,120.63,2004-02-01
2004,3,Mumbai,24.72,63.03,2004-03-01
2004,4,Mumbai,29.17,93.24,2004-04-01
2004,5,Mumbai,31.36,127.61,2004-05-01
2004,6,Mumbai,33.17,203.22,2004-06-01
2004,7,Mumbai,35.23,216.93,2004-07-01
2004,8,Mumbai,34.66,241.5,2004-08-01
